BAIAP3,COL24A1,DHRS7,ETFDH,FRZB,HBG1,IBSP,POU4F1,PSAT1,RIOK2,TCEAL4,TCF21,TRPA1,VIL1,ZNRF2,label
-1.432634027,-1.796485933,5.310544277,3.650715397,0.651659878,-6.92576895,1.764229022,5.724160807,7.305527245,3.983374098,5.851280839,-5.340806449,3.149576487,-6.92576895,4.708588352,0
-2.300276989,-0.110847399,4.862720146,3.659729977,3.363495929,-6.825092917,-1.467540912,0.626118195,7.957239878,4.178424995,5.159681543,-4.017737995,2.61028565,-0.71656846,4.738580043,0
-0.533042062,0.64562324,6.212438394,3.815548242,4.505592788,-4.735198544,0.622353461,-4.735198544,5.888378162,4.452153529,7.480031082,-1.365964734,-4.697230694,-3.99823295,4.871515102,1
0.281286353,0.63521291,5.894606903,4.003846097,3.429209449,-6.640911495,0.229453224,-3.470986494,4.784828929,4.07247502,6.354325675,-5.055948995,0.324872789,-5.055948995,4.981597959,0
-0.467258166,1.517214765,5.426442183,4.213939242,2.141112929,-6.844729008,-0.577942468,1.690546368,4.806771212,4.465315671,6.555750217,-6.844729008,-0.504879005,-6.844729008,4.784172144,0
-1.336846417,0.274350246,5.707904702,4.154327696,2.054930616,-6.383861236,1.599132338,-6.383861236,4.974240471,4.629461437,6.727763511,-6.383861236,-0.309612713,-6.383861236,4.999303024,0
1.062305939,-2.014774255,4.779641611,3.270627963,-0.257344559,-6.407091678,0.035851818,-2.014774255,6.279189977,3.820524265,6.389961842,-6.407091678,-2.500201083,-6.407091678,3.951559523,0
-0.249217997,-0.321472039,5.552693449,3.675184518,2.236523414,-6.661322042,-0.122163231,2.741689981,7.229417228,4.443931738,6.435887101,-2.960882324,-1.886271501,-6.661322042,3.458915835,0
0.784973465,-1.593717142,5.703864805,4.009550249,5.700903607,-4.962950952,-3.377988451,0.081443168,4.421473069,4.71711549,6.067486291,-4.962950952,1.086244154,-6.547913452,5.067256361,1
-0.910987725,0.805364585,5.072563761,3.475669875,2.674044389,-7.021183902,0.327544252,3.218414627,5.732659606,4.062960108,5.364408911,-3.320744184,0.277291132,-7.021183902,3.992138771,0
0.174418763,-0.15276628,7.18976154,4.608333052,2.434528792,-6.839266807,1.574361122,-1.629813441,3.9912484,4.883113828,6.813466151,-5.254304306,0.592857466,-6.839266807,5.500861467,1
2.298671905,-1.930715388,6.999121912,3.995902903,3.857470971,-6.454277344,-1.09672534,-3.646922422,2.986591823,5.02297498,7.013200843,-4.869314844,-6.454277344,-6.454277344,5.569823436,1
2.914137689,-0.286655271,4.791591844,3.628145941,6.346602149,-4.079213191,0.079216172,-0.820478923,4.95302937,4.683761988,7.072075221,-6.886568113,-3.427136494,-6.886568113,5.500641468,1
-0.165176629,-2.215643499,5.956083745,4.164947435,3.099053027,-6.859499689,-2.467182266,3.92431707,8.821546512,4.99185896,6.529728306,-6.859499689,-2.31353132,-5.274537188,3.197138026,0
-1.879633846,0.724144904,7.093788326,3.869784092,-2.48700276,-7.010564716,4.006939685,3.040644225,6.408737148,4.111616185,5.68618552,-7.010564716,0.56187025,-5.425602215,4.460602418,0
3.419924887,-0.305210325,6.534184359,4.54874501,5.909550325,-5.349604444,-6.934566945,-6.934566945,4.12139329,4.98541365,6.271073598,-5.349604444,-5.349604444,-6.934566945,5.137230578,1
2.613709893,-1.780129262,6.09870873,3.487163576,3.786027653,-6.989582627,-0.481787987,2.396279773,5.297263875,3.489186992,6.894301614,-4.182227705,-6.989582627,-6.989582627,3.807268168,1
3.336288979,-0.783282789,6.259264907,4.17574061,1.889509884,-7.05006933,-1.322148876,-4.242714408,5.550540522,3.80401985,6.465753684,-7.05006933,-1.167426281,-5.465106829,6.21246601,1
2.901196237,-1.750119565,6.092105047,4.460113425,9.932646837,-6.393975755,-0.967711001,1.057235357,4.302122416,5.64391433,7.037391259,-3.586620833,-2.693536037,-6.393975755,6.153159777,1
1.063445538,-1.472260241,5.714113168,3.838722348,6.884166138,-6.898524995,0.693932042,-1.015881946,3.873789579,4.310318996,6.647525396,-3.439093377,-3.423440112,-4.5765969,5.507414198,0
1.961385451,1.978280244,5.270104187,4.355302389,2.836665639,-4.478807434,1.653416858,-1.453272342,4.865171363,4.31514417,5.573178298,-4.116237355,-3.035200783,-4.964234261,4.45656812,1
3.152329822,-0.305752152,6.377543275,4.527378894,5.586176175,-2.162016674,-3.113107074,-4.212642748,3.278064898,4.607080171,8.102870759,-3.560566051,-4.212642748,-7.01999767,5.082962216,0
1.475273448,1.247997275,5.219646096,3.105066845,3.198267417,-6.844759866,2.839988754,0.538944426,5.901964378,3.953711935,5.91658359,-4.522831771,-0.238909999,-0.695012747,3.72794036,0
-0.994976823,3.530255206,7.191287088,4.346304735,0.916414426,-7.336251006,3.15259334,-5.751288506,5.589488858,5.098116595,5.549254724,-5.751288506,1.791021142,-5.014322911,5.944954594,0
0.707684932,1.657196869,6.091321294,3.750154976,8.16122709,-7.146934152,-1.47450881,-2.899006638,6.00550915,4.350418742,5.279068461,-4.33957923,-0.274105392,-7.146934152,5.060995294,0
-1.93338846,0.337080035,5.513483047,3.999552895,4.389025636,-7.146735742,0.924726621,-1.654882646,6.614711606,4.447122197,6.397141915,-7.146735742,-0.628200603,-4.824807647,4.487621559,0
1.436399532,0.840293326,4.69580244,3.206553527,1.924743648,-6.299258027,-1.16997501,-0.80740493,5.827769016,3.662191668,5.966649983,-3.129333025,-0.070439336,-3.129333025,4.007942783,0
0.298903424,1.948385453,4.678199143,3.3732977,4.614684251,-6.144371688,2.765521396,0.725993032,5.809460994,4.118897513,6.028993143,-4.559409187,-0.718106933,2.436828894,3.047921127,0
3.76925756,-1.12644001,4.225889563,3.571943121,11.05874516,-0.836933393,-0.752044496,-0.455062758,5.851263923,3.831199488,5.867284664,-5.881327513,-5.881327513,-1.357765556,3.340259609,0
-1.460802982,-0.761014936,4.270682115,4.495577438,1.474970429,-7.136054368,1.539902665,1.821047674,6.954140773,5.574106324,5.589098836,-4.814126273,1.290042622,-7.136054368,4.505545848,0
-0.280356415,1.212951745,6.260476374,4.439217175,-1.866775448,-6.911169567,4.496629283,-2.663242054,4.537463,4.179604487,5.147836828,-6.911169567,2.301399772,-3.741244566,4.664842307,0
2.070131836,-0.553067689,6.087966683,3.380114204,1.742081074,-4.67408309,2.389851215,-0.692230437,1.26608366,4.021493216,5.552569933,-5.411048685,0.745320963,-5.411048685,3.795965636,1
0.292948691,-0.696126561,6.393010265,5.054536356,4.548466782,-6.529016575,1.048412253,-6.529016575,5.510245219,5.633689444,7.304170015,-4.944054074,-2.005454619,-6.529016575,5.54076882,1
0.444330496,0.870757101,6.447217222,3.132249342,2.294093924,-6.736573213,-4.414645118,0.40297814,7.227135706,4.168061409,7.354448877,-6.736573213,-5.067546447,-6.736573213,4.935410059,1
0.180878967,5.033468178,5.059581018,3.520104474,4.214538563,-5.548673804,4.250607818,-2.089242185,6.68104629,4.602342735,6.047049891,-5.548673804,3.747645936,-5.548673804,3.465346667,0
1.863047372,1.19332281,5.649540787,3.766466795,1.94634081,-5.966548527,3.38880257,-4.381586026,2.811528603,4.581309979,6.464165359,-5.966548527,0.186040543,-5.966548527,2.737355047,0
0.333856173,-1.032047434,6.16698121,4.696765225,4.506348248,-6.962784772,0.568596689,-3.79285977,3.671118638,5.109012751,7.194325274,-6.962784772,-6.962784772,-5.377822271,5.983207653,1
0.174084718,1.794130777,7.33669551,3.622390099,2.827246884,-6.541259577,1.530202785,1.540889464,6.920859221,4.006598929,5.679421044,-6.541259577,-2.142088484,-6.541259577,5.53722484,0
-0.458911475,-1.310466201,5.842663558,3.196271132,7.905525109,-6.802319298,0.959231935,-1.848122987,6.956840698,3.840634926,6.565777869,-5.217356797,2.020665721,-2.158463108,4.402863029,0
0.763667616,0.593469144,4.813784426,3.790487806,1.576273529,-7.127630045,-1.105262232,1.125035388,6.799314498,4.335383369,6.296142442,-5.542667544,0.449798783,-1.196892707,4.247952468,0
0.575173978,0.605947913,7.026175695,4.496808399,4.799153322,-5.308935473,2.63553258,-3.193458256,7.037855249,4.445395326,5.139180832,-5.308935473,0.808343987,-0.450954478,5.700193317,0
1.872030832,-0.547800435,5.457891746,4.147951943,0.784519266,-6.922839866,-2.064858871,3.038609828,6.107999666,4.055155502,5.823464501,-6.922839866,-4.099090506,-3.752914865,4.216071852,0
-0.175483554,-0.228062375,6.088820473,4.378934637,1.339465532,-7.022478241,1.424604985,-0.48331943,5.945288387,4.377867555,6.86521837,-4.215123319,-2.164497246,-7.022478241,5.345209515,0
0.369129537,0.068979183,4.855258713,3.786800979,2.485655177,-7.297343032,1.648100805,0.051385123,5.750632883,4.197012572,5.971052762,-5.712380531,-1.184225995,2.017806531,4.267282831,0
-0.686195525,4.970880222,6.043331362,5.779472585,-0.655430538,-4.355870256,1.126793669,-7.163225178,7.546989337,4.215611535,6.35800718,-7.163225178,-3.055537309,-4.841297083,3.751907271,0
-1.04458376,-0.648655084,5.630717753,4.976657662,3.565956631,-4.216339593,-0.614303579,-0.203515553,6.840007812,4.876794969,6.061279919,-7.023694515,-0.794875825,-4.216339593,5.148420417,0
-1.636129379,-1.999981284,4.871087876,4.064876938,2.555484319,-7.129264301,-1.999981284,-2.485408111,4.147441719,5.095038908,5.920414109,-7.129264301,-0.71377603,-3.222373705,5.225811446,0
0.937807108,1.374196334,5.513189475,3.086291821,5.085891462,-5.144128974,1.967876051,-0.500272784,6.575972746,4.268793653,6.964504378,-6.729091475,-0.189932664,-2.822200879,4.808612273,1
0.357248691,0.139347976,5.239316393,3.929285845,2.263676111,-5.241473808,-0.417045373,2.113142905,6.278326229,4.167209751,7.246449945,-6.826436309,-4.01086088,-6.826436309,3.939264179,0
0.149178116,-2.129950266,5.440489311,3.871782702,2.728030729,-5.830389984,-0.04903027,-0.785995864,6.111024487,4.761132363,7.832167137,-5.830389984,-2.370958365,-2.129950266,3.356962089,0
0.510672973,0.396743916,5.633564506,3.512538174,5.170438895,-7.054467196,2.91851259,-1.769064977,6.76501339,4.281481369,6.53740573,-3.884542195,-0.325730353,-2.100270886,4.455802475,0
-0.61672873,1.413945085,5.259713891,4.669166036,5.584463666,-5.662870512,0.219772537,-3.340942417,5.360190738,4.312977456,7.44940608,-5.662870512,-5.662870512,-5.662870512,3.842941042,0
1.159416559,-0.662990904,5.277294812,4.283964956,4.481860916,-5.381809151,-0.071953889,1.247547469,4.159287464,4.441027198,6.075742734,-1.352061808,-2.21188415,-6.966771652,4.914724733,1
-2.085124219,0.50596601,5.216293511,4.242692728,1.871187616,-3.925083807,-2.340121306,-3.562513728,5.693563884,3.756405617,5.553830234,-6.732438729,-0.092049169,-3.925083807,4.290622521,0
-1.67722054,-0.320646302,5.754900832,3.467366898,2.077481419,-6.203289351,1.109593604,-2.502849633,5.733716575,4.448659259,6.162759599,-6.203289351,-0.038583511,-4.618326851,3.831509611,0
-2.045770847,0.332561385,5.848138675,4.369005499,7.420518817,-4.452540731,-1.110148533,-4.937967558,4.537360565,4.921567229,5.385537623,-3.800464034,2.252726309,-7.259895653,5.727901276,1
2.397692429,2.341108901,4.897927343,3.589185584,2.039585026,-6.650412945,1.821262269,1.473708367,5.118184937,4.304510347,6.189774879,-5.065450444,4.954223674,-6.650412945,4.77637595,0
-0.888543904,1.766439624,5.692304407,3.156969421,3.402772855,-5.373111728,2.32037523,2.440669463,6.639396422,4.077412223,5.612018646,-5.373111728,-4.630386865,-5.373111728,4.224940772,0
3.163493171,0.867052079,6.001820635,4.447554932,4.458235018,-6.209763518,-6.209763518,-4.624801017,3.435894914,4.73787342,7.426521232,-3.887835423,-4.624801017,-6.209763518,5.514323944,1
-1.422216935,3.176426678,4.828257746,4.015168236,2.984038879,-6.469231755,0.130681087,2.850440366,6.23748009,4.768575719,5.885843992,-6.469231755,0.376258296,-6.469231755,3.468877571,0
0.691681253,-0.23250374,6.061431089,4.132904674,1.394894027,-6.29859293,-0.744004079,-6.29859293,4.520787861,4.900465893,6.545916696,-4.713630429,0.788233287,-6.29859293,4.670793591,1
2.897098071,-2.007277252,5.587589097,4.335970084,5.957948462,-6.961473562,-6.961473562,-1.676071343,3.359326987,3.984701679,6.115509004,-1.40688471,-4.150002531,-6.961473562,5.045904171,1
0.755202291,1.744607759,5.227204881,3.728840443,4.475737018,-5.58630912,2.381397477,-2.778954198,6.125214466,4.551109015,5.945559656,-4.849343525,-2.416384118,-1.679418524,3.742365808,1
0.302311217,0.14397419,6.813297976,3.536945748,0.116229199,-6.570271328,-0.461746871,-2.482808486,6.291009476,4.288486772,5.869299869,-3.400346326,-1.284869109,-3.762916406,4.149972931,0
3.513578507,-1.496097805,6.317385124,3.867985937,4.949927551,-0.352506951,0.82583029,-3.462930941,6.049360602,4.786290276,6.651876163,-4.600434465,-4.115007637,-6.922362559,5.555142758,1
0.903964384,1.925312175,5.666187402,3.878755934,1.006292749,-6.832911039,2.319373803,2.518028142,2.783637804,4.734569762,5.817916335,-4.510982944,1.825800301,-5.247948539,4.70382185,0
2.468696013,-0.951827026,6.424453434,4.833690313,4.815306461,-2.071125954,-6.929106949,-4.607178854,2.970249974,4.782129818,6.845988873,-1.314397105,-4.109438766,-5.344144449,5.298809775,1
1.591984008,-1.589770291,5.091208833,3.660023179,2.745107418,-7.520507628,0.722666355,2.673017732,5.434597352,4.452830993,5.537653256,-7.520507628,2.26216303,-2.235105409,3.958767402,0
1.495702093,0.164916732,5.936429952,4.197626489,4.220277204,-4.632096246,1.973753621,-1.462171244,5.217465236,4.39857089,6.559826599,-6.954024341,-1.06649907,-4.146669419,4.565120447,0
1.83471506,0.787468256,5.92956454,4.222342771,2.318685185,-7.101274992,3.338555892,-3.194384397,5.677828747,4.654029896,6.380902719,-3.194384397,-0.493648772,3.263953857,4.24911175,0
2.331257185,-0.696674184,5.251022628,4.038812481,4.977604927,-6.627411521,-5.042449021,-1.417958156,3.222775316,4.606807157,6.32514774,-3.820056599,-2.526433874,-3.45748652,4.775067651,0
2.758255621,-1.0137282,7.010831669,4.697638643,6.409216646,-4.855030454,-6.439992955,-4.855030454,4.123203317,4.789426733,7.417502137,-2.980561336,-4.11806486,-4.855030454,4.791828224,1
-0.490263411,-1.137961667,6.904329092,3.552484082,2.945142576,-4.101435791,-1.294080869,2.618295266,5.250386854,4.550333481,8.117187985,-4.101435791,-1.137961667,-4.101435791,4.057426315,0
-0.125048888,-0.248033642,6.119428592,3.117147651,5.609586815,-6.356558099,3.584489508,-3.549203177,6.10875321,4.583755499,7.084700233,-6.356558099,-0.679613739,-1.312163979,4.757834956,0
-0.011531431,1.192625205,5.394439302,3.926735752,5.260445877,-6.835280791,2.144858786,-2.442963368,7.18873339,4.38932389,5.699751523,-6.835280791,1.200782898,-4.513352696,4.572518059,0
0.841557735,-0.391816698,7.431476476,4.078250952,3.150585341,-5.818081452,3.687730102,0.521768551,-0.773687333,5.095555976,6.530370085,-5.818081452,-0.090160998,-5.818081452,5.159913916,0
4.476056626,-1.984093039,5.906967328,4.820191665,5.222107349,-3.569055539,-4.791447961,-3.20648546,2.361681798,5.05247309,7.622268107,-3.20648546,-6.376410462,-6.376410462,4.262930247,1
4.659711413,0.755187542,6.039231611,5.115130757,4.758767774,-5.276031188,-5.276031188,-2.312557064,2.791134239,5.609512672,6.015715093,-4.790604361,-3.893087319,-6.012996782,5.243015287,1
